entity,token_type,subj,property,query_fwd,query_rev,fwd_choices,rev_choices,answer_fwd,answer_rev,foil1,foil2,foil3,orig_entity
dog,typical_token,Labrador,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Labrador', 'Holstein', 'cobra', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",dog,Labrador,,,,
cat,typical_token,Siamese,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Siamese', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Hampshire']",cat,Siamese,,,,
cow,typical_token,Holstein,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['cow', 'dog', 'cat', 'pig', 'bird', 'bee', 'fish', 'snake']","['Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",cow,Holstein,,,,
pig,typical_token,Hampshire,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['pig', 'dog', 'cat', 'cow', 'bird', 'bee', 'fish', 'snake']","['Hampshire', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese']",pig,Hampshire,,,,
bird,typical_token,sparrow,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['bird', 'dog', 'cat', 'cow', 'pig', 'bee', 'fish', 'snake']","['sparrow', 'Holstein', 'cobra', 'Labrador', 'trout', 'bumblebee', 'Siamese', 'Hampshire']",bird,sparrow,,,,
bee,typical_token,bumblebee,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['bee', 'dog', 'cat', 'cow', 'pig', 'bird', 'fish', 'snake']","['bumblebee', 'Holstein', 'cobra', 'Labrador', 'trout', 'sparrow', 'Siamese', 'Hampshire']",bee,bumblebee,,,,
fish,typical_token,trout,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['fish', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'snake']","['trout', 'Holstein', 'cobra', 'Labrador', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",fish,trout,,,,
snake,typical_token,cobra,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['snake', 'dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish']","['cobra', 'Holstein', 'Labrador', 'trout', 'sparrow', 'bumblebee', 'Siamese', 'Hampshire']",snake,cobra,,,,
dog,rare_token,Puli,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['dog', 'cat', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Puli', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Vaynol', 'Owlet', 'Maine Coon']",dog,Puli,,,,
cat,rare_token,Maine Coon,category_membership,a <subj> is a <answer>,one kind of <answer> is a <subj>,"['cat', 'dog', 'cow', 'pig', 'bird', 'bee', 'fish', 'snake']","['Maine Coon', 'Andrena', 'Tamworth', 'Ninia', 'grouper', 'Puli', 'Owlet', 'Vaynol']",cat,Maine Coon,,,,
